id,o,d,ta,ca,lane_level,road_type
1,80214774,80214778,7.5,2000,1,residential
2,80214774,80246131,8.1,2000,1,residential
3,80214774,80303952,25.9,2000,1,residential
4,80214774,80277443,14.4,2000,1,residential
5,80214778,80214780,7.4,2000,1,residential
6,80214778,80214774,7.5,2000,1,residential
7,80214778,80286526,19.0,2000,1,residential
8,80214778,80290199,19.4,2000,1,residential
9,80214780,80214778,7.4,2000,1,residential
10,80214780,80246480,21.0,2000,1,residential
11,80214780,80285947,15.6,2000,1,residential
12,80215313,80283792,6.8,2000,1,secondary
13,80215313,80283792,6.8,2000,2,secondary
14,80215313,80283792,6.8,2000,3,secondary
15,80215313,80283792,6.8,2000,4,secondary
16,80215313,80815205,4.6,2000,1,secondary
17,80215313,80815205,4.6,2000,2,secondary
18,80215313,80815205,4.6,2000,3,secondary
19,80215313,80815205,4.6,2000,4,secondary
20,80215313,80215317,6.0,2000,1,residential
21,80215317,80305903,7.7,2000,1,residential
22,80215317,80215322,8.8,2000,1,residential
23,80215317,80215313,6.0,2000,1,residential
24,80215322,80294479,3.3,2000,1,residential
25,80215322,80215330,9.7,2000,1,residential
26,80215322,80215317,8.8,2000,1,residential
27,80215330,80292602,7.3,2000,1,residential
28,80215330,80215343,21.6,2000,1,residential
29,80215330,80215322,9.7,2000,1,residential
30,80215330,80284103,7.4,2000,1,residential
31,80215343,80215349,4.8,2000,1,residential
32,80215343,80215330,21.6,2000,1,residential
33,80215343,80307325,11.1,2000,1,residential
34,80215349,2462403640,0.9,2000,1,residential
35,80215349,80215343,4.8,2000,1,residential
36,80215349,2462403743,3.0,2000,1,tertiary
37,80215377,80215379,7.6,2000,1,residential
38,80215377,1028818489,32.5,2000,1,residential
39,80215377,80304851,16.8,2000,1,residential
40,80215379,80215383,8.3,2000,1,residential
41,80215379,80215377,7.6,2000,1,residential
42,80215379,80299631,21.3,2000,1,residential
43,80215383,80215390,10.5,2000,1,residential
44,80215383,80215379,8.3,2000,1,residential
45,80215383,80284918,17.6,2000,1,residential
46,80215390,80215383,10.5,2000,1,residential
47,80215390,80278454,5.4,2000,1,residential
48,80215390,80305819,12.2,2000,1,residential
49,80215475,80282185,7.0,2000,1,tertiary
50,80215475,80215488,31.8,2000,1,residential
51,80215475,80282179,32.9,2000,1,residential
52,80215475,80309002,7.1,2000,1,tertiary
53,80215488,1051370983,5.3,2000,1,residential
54,80215488,80282187,9.8,2000,1,residential
55,80215488,80215475,31.8,2000,1,residential
56,80215488,80303453,5.6,2000,1,residential
57,80215552,11233373900,32.2,2000,1,unclassified
58,80215552,80310903,12.7,2000,1,tertiary
59,80215552,8085987941,31.8,2000,1,tertiary
60,80215552,8085987941,31.8,2000,2,tertiary
61,80215573,1351536737,0.8,2000,1,secondary
62,80215573,1351536737,0.8,2000,2,secondary
63,80215573,1351536737,0.8,2000,3,secondary
64,80215573,1351536737,0.8,2000,4,secondary
65,80215573,1911883852,14.1,2000,1,secondary
66,80215573,1911883852,14.1,2000,2,secondary
67,80215573,1911883852,14.1,2000,3,secondary
68,80215573,1911883852,14.1,2000,4,secondary
69,80215573,1375429958,20.7,2000,1,secondary
70,80215580,80285979,9.3,2000,1,secondary
71,80215580,80285979,9.3,2000,2,secondary
72,80215580,80305927,3.6,2000,1,secondary
73,80215580,80305927,3.6,2000,2,secondary
74,80215580,80215587,28.7,2000,1,residential
75,80215587,80215580,28.7,2000,1,residential
76,80215587,80286016,8.9,2000,1,residential
77,80215587,5082761229,10.7,2000,1,residential
78,80215930,80310692,8.7,2000,1,tertiary
79,80215930,80310692,8.7,2000,2,tertiary
80,80215930,80215943,17.3,2000,1,residential
81,80215930,80285589,12.7,2000,1,tertiary
82,80215930,80285589,12.7,2000,2,tertiary
83,80215943,80297976,4.2,2000,1,residential
84,80215943,80215949,4.9,2000,1,residential
85,80215943,80215930,17.3,2000,1,residential
86,80215949,80215953,10.4,2000,1,residential
87,80215949,80215943,4.9,2000,1,residential
88,80215949,80215999,11.8,2000,1,residential
89,80215953,80287016,9.4,2000,1,residential
90,80215953,80215949,10.4,2000,1,residential
91,80215953,80283424,22.4,2000,1,residential
92,80215999,80215949,11.8,2000,1,residential
93,80216004,80216006,18.5,2000,1,residential
94,80216004,80309000,8.4,2000,1,residential
95,80216004,80287087,25.4,2000,1,residential
96,80216006,80216004,18.5,2000,1,residential
97,80216006,80287091,8.4,2000,1,residential
98,80216006,80287087,8.6,2000,1,residential
99,80216010,80216012,8.8,2000,1,residential
100,80216010,80296932,6.9,2000,1,residential
101,80216010,80296964,12.2,2000,1,residential
102,80216012,80216010,8.8,2000,1,residential
103,80216012,80295931,10.0,2000,1,residential
104,80216012,80216037,30.6,2000,1,residential
105,80216012,80295947,19.3,2000,1,residential
106,80216037,80216012,30.6,2000,1,residential
107,80216037,80237525,43.6,2000,1,residential
108,80216037,80237525,43.6,2000,2,residential
109,80216037,80295918,4.7,2000,1,residential
110,80216041,80216055,11.6,2000,1,residential
111,80216041,80304025,12.8,2000,1,residential
112,80216041,80291232,20.8,2000,1,residential
113,80216055,80216041,11.6,2000,1,residential
114,80216348,80240485,25.8,2000,1,motorway
115,80216348,80240485,25.8,2000,2,motorway
116,80221740,80245745,8.9,2000,1,residential
117,80224699,80285440,7.7,2000,1,residential
118,80224699,80224716,28.3,2000,1,residential
119,80224699,80239129,8.1,2000,1,residential
120,80224716,80239047,7.3,2000,1,residential
121,80224716,80239044,8.4,2000,1,residential
122,80224716,80224699,28.3,2000,1,residential
123,80227342,11257905091,36.2,2000,1,motorway_link
124,80227342,80227395,47.5,2000,1,motorway
125,80227342,80227395,47.5,2000,2,motorway
126,80227395,80294795,21.5,2000,1,motorway
127,80227395,80294795,21.5,2000,2,motorway
128,80227395,80294795,21.5,2000,3,motorway
129,80229657,2459107133,21.5,2000,1,tertiary
130,80229657,2459107133,21.5,2000,2,tertiary
131,80229657,2459107141,11.0,2000,1,tertiary
132,80229657,2459107141,11.0,2000,2,tertiary
133,80229657,1351702301,6.3,2000,1,residential
134,80229657,1902921609,40.6,2000,1,residential
135,80230322,80230329,10.3,2000,1,residential
136,80230322,80299691,14.9,2000,1,residential
137,80230322,80299691,46.8,2000,1,residential
138,80230329,1375180870,1.2,2000,1,residential
139,80230329,80230322,10.3,2000,1,residential
140,80230329,11225659352,7.5,2000,1,secondary
141,80230329,11225659352,7.5,2000,2,secondary
142,80230529,80230529,6.8,2000,1,residential
143,80230529,80230529,6.8,2000,1,residential
144,80230529,80803053,13.7,2000,1,residential
145,80230774,80262912,0.9,2000,1,secondary
146,80230774,80262912,0.9,2000,2,secondary
147,80230774,80299691,5.6,2000,1,residential
148,80230776,80262910,1.4,2000,1,residential
149,80230776,80239323,7.8,2000,1,residential
150,80230776,1375180868,5.7,2000,1,residential
151,80230781,80230776,7.2,2000,1,residential
152,80230781,80230798,19.7,2000,1,residential
153,80230798,80239311,43.8,2000,1,residential
154,80230798,80239311,14.0,2000,1,residential
155,80230798,80230781,19.7,2000,1,residential
